FULL ADDRESS,PARCEL_NO,X,Y,C.TRACT.,C.BLOCK.,CASE#,V.I.D,VIOLATION TYPE,ISSUED,COMP_TYPE
3415  MCHENRY AV,022400050039,1381475,425321,100.02,1000,B201904015,CD05502196,REPAIR LEAK AND DAMAGE, 05/13/2019,CBHCODE
3415  MCHENRY AV,022400050039,1381475,425321,100.02,1000,B201904015,CD05502197,REPAIR SINK, 05/13/2019,CBHCODE
3415  MCHENRY AV,022400050039,1381475,425321,100.02,1000,B201903066,CD05419923,INSECT AND RODENT CONTROL, 03/20/2019,CBHCODE
3451  MCHENRY AV,022400050009,1381630,425542,100.02,1000,B202000009,CD05847610,REPAIR LEAK AND DAMAGE, 01/09/2020,CBHCODE
3451  MCHENRY AV,022400050009,1381630,425542,100.02,1000,B201707641,CD04757489,REPAIR LEAK AND DAMAGE, 01/04/2018,CBHCODE
3451  MCHENRY AV,022400050009,1381630,425542,100.02,1000,B201707641,CD04757490,REPAIR WATER CLOSET (TOILET), 01/04/2018,CBHCODE
3451  MCHENRY AV,022400050009,1381630,425542,100.02,1000,B201707641,CD04757492,WEATHERTIGHT EXTERIOR, 01/04/2018,CBHCODE
3451  MCHENRY AV,022400050009,1381630,425542,100.02,1000,B201707641,CD04757493,REPAIR BATH OR SHOWER, 01/04/2018,CBHCODE
3451  MCHENRY AV,022400050009,1381630,425542,100.02,1000,B201907247,CD05790946,REPAIR BATH OR SHOWER, 11/19/2019,CBHCODE
3515  MCHENRY AV,022400040022,1382247,425686,100.02,1000,B202202619,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 02/10/2023,CBHCODE
3515  MCHENRY AV,022400040022,1382247,425686,100.02,1000,B202202619,BCOE412,WEATHERTIGHT EXTERIOR, 02/10/2023,CBHCODE
3515  MCHENRY AV,022400040022,1382247,425686,100.02,1000,B201902625,CD05362563,REPAIR LEAK AND DAMAGE, 02/11/2019,CBHCODE
3515  MCHENRY AV,022400040022,1382247,425686,100.02,1000,B201802931,CD04935906,REPAIR SINK, 05/04/2018,CBHCODE
3515  MCHENRY AV,022400040022,1382247,425686,100.02,1000,B201802931,BCOE605,REPAIR LEAK AND DAMAGE, 05/04/2018,CBHCODE
3515  MCHENRY AV,022400040022,1382247,425686,100.02,1000,B201802931,CD04935904,PAINT OR PAPER ROOMS, 05/04/2018,CBHCODE
3563  MCHENRY AV,022400040072,1382824,425614,100.02,1000,B201906346,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 09/17/2019,CBHCODE
3599  MCHENRY AV,022400030002,1383372,425559,100.02,1000,B202003151,BCOE413,PAINT EXTERIOR, 06/17/2020,CBHCODE
3893  YEARLING CT,020900050267,1379950,426917,100.02,1000,B201802285,BCOE400,REPAIR ROOF, 03/06/2018,CBHCODE
3895  YEARLING CT,020900050267,1379960,426930,100.02,1000,B202105820,BCOE652,REPAIR DRYER VENT, 11/19/2021,CBHCODE
3895  YEARLING CT,020900050267,1379960,426930,100.02,1000,B202105820,CD06783963,REPAIR LEAK AND DAMAGE, 11/19/2021,CBHCODE
3901  YEARLING CT,020900050267,1380000,427033,100.02,1000,B202204285,BCOE667,INSECT AND RODENT CONTROL, 08/11/2022,CBHCODE
3901  YEARLING CT,020900050267,1380000,427033,100.02,1000,B202204285,CD07178129,DEFECTIVE PLUMBING LINES, 08/11/2022,CBHCODE
3903  YEARLING CT,020900050267,1380010,427050,100.02,1000,B202103370,CD06568411,REPAIR WINDOWS, 07/02/2021,CBHCODE
3903  YEARLING CT,020900050267,1380010,427050,100.02,1000,B202103370,CD06568412,REPAIR LEAK AND DAMAGE, 07/02/2021,CBHCODE
3909  YEARLING CT,020900050267,1380040,427104,100.02,1000,B202204292,BCOE204,CLOGGED YARD DRAINS, 08/11/2022,CBHCODE
3909  YEARLING CT,020900050267,1380040,427104,100.02,1000,B202204292,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 08/11/2022,CBHCODE
3919  YEARLING CT,020900050267,1379960,427214,100.02,1000,B202203200,CD07178130,REPAIR MECHANICAL VENT, 08/11/2022,CBHCODE
3924  YEARLING CT,020900050269,1380029,427367,100.02,1000,B202302135,BCOE634,DEFECTIVE PLUMBING LINES, 04/18/2023,CBHCODE
3924  YEARLING CT,020900050269,1380029,427367,100.02,1000,B202302135,BCOE406,SEWER CONNECT DOWNSPOUTS, 04/18/2023,CBHCODE
3924  YEARLING CT,020900050269,1380029,427367,100.02,1000,B202302135,BCOE411,REPAIR SIDING, 04/18/2023,CBHCODE
3924  YEARLING CT,020900050269,1380029,427367,100.02,1000,B202302135,BCOE412,WEATHERTIGHT EXTERIOR, 04/18/2023,CBHCODE
3935  YEARLING CT,020900050267,1379900,427091,100.02,1000,B202105450,BCOE204,CLOGGED YARD DRAINS, 11/04/2021,CBHCODE
3935  YEARLING CT,020900050267,1379900,427091,100.02,1000,B202105450,BCOE605,REPAIR LEAK AND DAMAGE, 11/04/2021,CBHCODE
3935  YEARLING CT,020900050267,1379900,427091,100.02,1000,B202105450,BCOE615,REPAIR LAVATORY, 11/04/2021,CBHCODE
3945  YEARLING CT,020900050267,1379830,426957,100.02,1000,B201905831,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 08/13/2019,CBHCODE
3945  YEARLING CT,020900050267,1379830,426957,100.02,1000,B201905831,CD05646677,REPAIR LEAK AND DAMAGE, 08/13/2019,CBHCODE
3945  YEARLING CT,020900050267,1379830,426957,100.02,1000,B202002774,CD05989620,REPAIR BATH OR SHOWER, 05/29/2020,CBHCODE
3945  YEARLING CT,020900050267,1379830,426957,100.02,1000,B202002774,CD05989621,REPAIR MECHANICAL VENT, 05/29/2020,CBHCODE
3945  YEARLING CT,020900050267,1379830,426957,100.02,1000,B202002774,CD05989622,DEFECTIVE PLUMBING LINES, 05/29/2020,CBHCODE
3945  YEARLING CT,020900050267,1379830,426957,100.02,1000,B202002774,CD05989626,REPAIR GUTTERS AND DOWNSPOUTS, 05/29/2020,CBHCODE
3945  YEARLING CT,020900050267,1379830,426957,100.02,1000,B202002774,CD05989628,REPAIR LEAK AND DAMAGE, 05/29/2020,CBHCODE
3945  YEARLING CT,020900050267,1379830,426957,100.02,1000,B202002774,BCOE606,PAINT OR PAPER ROOMS, 05/29/2020,CBHCODE
3980  YEARLING CT,020900050354,1379890,427577,100.02,1000,B201805805,CD05140358,REPAIR LEAK AND DAMAGE, 08/31/2018,CBHCODE
2458  MUSTANG DR,02090005CD06,1379350,427502,100.02,1001,B201802694,CD04884261,REPAIR WATER CLOSET (TOILET), 05/23/2018,CBHCODE
2514  MUSTANG DR,02090005CD08,1379310,426997,100.02,1001,B202006512,CD06297953,VACATE THE APARTMENT, 01/04/2021,CBHCODE
2545  MONTANA AV,020900050202,1378821,427564,100.02,1001,B201905886,CD05646680,REPAIR LEAK AND DAMAGE, 08/08/2019,CBHCODE
2584  MUSTANG DR,020900050165,1378487,426872,100.02,1001,B201805660,CD05124221,VACATE THE BUILDING, 08/22/2018,CBHCODE
2627  MONTANA AV,020900050002,1378304,427102,100.02,1001,B201907758,BCOE606,PAINT OR PAPER ROOMS, 11/01/2019,CBHCODE
2627  MONTANA AV,020900050002,1378304,427102,100.02,1001,B201907758,BCOE605,REPAIR LEAK AND DAMAGE, 11/01/2019,CBHCODE
2627  MONTANA AV,020900050002,1378304,427102,100.02,1001,B201907758,BCOE617,REPAIR BATH OR SHOWER, 11/01/2019,CBHCODE
2645  MONTANA AV,020900020043,1377740,427082,100.02,1001,B202002596,CD05975529,REPAIR ROOFS, 05/15/2020,CBHCODE
2645  MONTANA AV,020900020043,1377740,427082,100.02,1001,B202002596,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 05/15/2020,CBHCODE
2310  IROLL AV,022400030028,1383525,425620,100.02,1003,B201804224,CD05012148,DEFECTIVE PLUMBING LINES, 06/22/2018,CBHCODE
2310  IROLL AV,022400030028,1383525,425620,100.02,1003,B201804224,BCOE606,PAINT OR PAPER ROOMS, 06/22/2018,CBHCODE
2310  IROLL AV,022400030028,1383525,425620,100.02,1003,B201804224,BCOE400,REPAIR ROOF, 06/22/2018,CBHCODE
2314  IROLL AV,022400030041,1383527,425702,100.02,1003,B202005259,BCOE413,PAINT EXTERIOR, 10/15/2020,CBHCODE
2332  IROLL AV,022400030045,1383552,425845,100.02,1003,B201902556,CD05349264,DEFECTIVE PLUMBING LINES, 02/04/2019,CBHCODE
2332  IROLL AV,022400030045,1383552,425845,100.02,1003,B201902556,CD05349263,REPAIR LEAK AND DAMAGE, 02/04/2019,CBHCODE
2332  IROLL AV,022400030045,1383552,425845,100.02,1003,B201804239,CD05020194,REPAIR SINK, 06/22/2018,CBHCODE
2332  IROLL AV,022400030045,1383552,425845,100.02,1003,B201804239,CD05020193,REPAIR LEAK AND DAMAGE, 06/22/2018,CBHCODE
3603  MCHENRY AV,022400030031,1383496,425542,100.02,1003,B201804912,CD05054569,PAINT OR PAPER ROOMS, 07/11/2018,CBHCODE
2583  WESTWOOD NORTHERN BLVD,020900040058,1377393,425082,100.02,2000,B201902714,BCOE414,REPAIR WINDOWS, 02/14/2019,CBHCODE
2668  SHAFFER AV,020700540134,1377337,423758,100.02,2000,B202205331,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 10/18/2022,CBHCODE
2668  SHAFFER AV,020700540134,1377337,423758,100.02,2000,B202205331,CD07264714,PAINT EXTERIOR, 10/18/2022,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202004554,CD06166301,REPAIR LEAK AND DAMAGE, 09/11/2020,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206690,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 01/27/2023,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206690,BCOE600,PAINT HALLS, 01/27/2023,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206690,BCOE623,REPAIR MECHANICAL VENT, 01/27/2023,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206690,BCOE634,DEFECTIVE PLUMBING LINES, 01/27/2023,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206690,BCOE667,INSECT AND RODENT CONTROL, 01/27/2023,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206731,CD07555763,PAINT OR PAPER ROOMS, 05/02/2023,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206731,CD07555765,REPAIR LEAK AND DAMAGE, 05/02/2023,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206498,CD07368560,REPAIR LEAK AND DAMAGE, 12/28/2022,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206498,CD07368553,DEFECTIVE PLUMBING LINES, 12/28/2022,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206498,CD07368554,PAINT OR PAPER ROOMS, 12/28/2022,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206498,CD07368559,REPAIR LAVATORY, 12/28/2022,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206498,CD07368561,REPAIR MECHANICAL VENT, 12/28/2022,CBHCODE
2670  SHAFFER AV,020700540133,1377288,423954,100.02,2000,B202206498,CD07368564,TOILET ROOM SURFACES, 12/28/2022,CBHCODE
2730  SHAFFER AV,020800550148,1376715,423861,100.02,2000,B202001686,CD05935758,REPAIR LEAK AND DAMAGE, 03/30/2020,CBHCODE
2730  SHAFFER AV,020800550148,1376715,423861,100.02,2000,B202001686,CD05935759,PAINT OR PAPER ROOMS, 03/30/2020,CBHCODE
2768  SHAFFER AV,020800550149,1376272,423907,100.02,2000,B202206603,BCOE621,TOILET ROOM SURFACES, 01/27/2023,CBHCODE
2768  SHAFFER AV,020800550149,1376272,423907,100.02,2000,B202206603,BCOE414,REPAIR WINDOWS, 01/27/2023,CBHCODE
2768  SHAFFER AV,020800550149,1376272,423907,100.02,2000,B202206603,BCOE606,PAINT OR PAPER ROOMS, 01/27/2023,CBHCODE
2768  SHAFFER AV,020800550149,1376272,423907,100.02,2000,B202206603,BCOE615,REPAIR LAVATORY, 01/27/2023,CBHCODE
2768  SHAFFER AV,020800550149,1376272,423907,100.02,2000,B202206603,BCOE634,DEFECTIVE PLUMBING LINES, 01/27/2023,CBHCODE
2768  SHAFFER AV,020800550149,1376272,423907,100.02,2000,B202206603,BCOE667,INSECT AND RODENT CONTROL, 01/27/2023,CBHCODE
2768  SHAFFER AV,020800550149,1376272,423907,100.02,2000,B202206603,CD07410986,REPAIR LEAK AND DAMAGE, 01/27/2023,CBHCODE
2777  MONTANA AV,020900030345,1376151,425857,100.02,2000,B201805522,BCOE667,INSECT AND RODENT CONTROL, 08/21/2018,CBHCODE
2777  MONTANA AV,020900030345,1376151,425857,100.02,2000,B201805522,CD05112289,REPAIR LEAK AND DAMAGE, 08/21/2018,CBHCODE
2777  MONTANA AV,020900030345,1376151,425857,100.02,2000,B201804089,BCOE606,PAINT OR PAPER ROOMS, 06/26/2018,CBHCODE
2777  MONTANA AV,02090003CD01,1376151,425857,100.02,2000,B201804089,BCOE606,PAINT OR PAPER ROOMS, 06/26/2018,CBHCODE
2777  MONTANA AV,020900030345,1376151,425857,100.02,2000,B201804089,CD05028998,LIGHT AND VENTILATION GENERAL, 06/26/2018,CBHCODE
2777  MONTANA AV,02090003CD01,1376151,425857,100.02,2000,B201804089,CD05028998,LIGHT AND VENTILATION GENERAL, 06/26/2018,CBHCODE
2777  MONTANA AV,020900030345,1376138,425852,100.02,2000,B202004747,CD06176620,PAINT OR PAPER ROOMS, 09/18/2020,CBHCODE
2777  MONTANA AV,020900030345,1376138,425852,100.02,2000,B202004747,CD06176621,REPAIR BATH OR SHOWER, 09/18/2020,CBHCODE
2777  MONTANA AV,02090003CD01,1376138,425852,100.02,2000,B202201591,CD07131220,REPAIR WINDOWS, 07/14/2022,CBHCODE
2777  MONTANA AV,02090003CD01,1376138,425852,100.02,2000,B202201591,CD07131221,PAINT EXTERIOR, 07/14/2022,CBHCODE
2787  MONTANA AV,020900030255,1376087,425792,100.02,2000,B202005322,BCOE413,PAINT EXTERIOR, 10/22/2020,CBHCODE
2788  SHAFFER AV,020800550109,1376025,423939,100.02,2000,B201902725,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 02/21/2019,CBHCODE
2788  SHAFFER AV,020800550109,1376025,423939,100.02,2000,B201903244,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 03/25/2019,CBHCODE
2788  SHAFFER AV,020800550109,1376025,423939,100.02,2000,B201903244,BCOE413,PAINT EXTERIOR, 03/25/2019,CBHCODE
2789  MONTANA AV,020900030034,1376063,425775,100.02,2000,B202002704,BCOE411,REPAIR SIDING, 05/22/2020,CBHCODE
2801  MONTANA AV,020900030205,1375927,425624,100.02,2000,B202105454,CD06887816,SEWER CONNECT DOWNSPOUTS, 11/04/2021,CBHCODE
2801  MONTANA AV,020900030205,1375927,425624,100.02,2000,B202105454,BCOE605,REPAIR LEAK AND DAMAGE, 11/04/2021,CBHCODE
2801  MONTANA AV,020900030205,1375927,425624,100.02,2000,B202105454,BCOE621,TOILET ROOM SURFACES, 11/04/2021,CBHCODE
2801  MONTANA AV,020900030205,1375927,425624,100.02,2000,B202105454,BCOE623,REPAIR MECHANICAL VENT, 11/04/2021,CBHCODE
2865  FISCHER PL,020800550026,1375146,424254,100.02,2000,B201904902,BCOE414,REPAIR WINDOWS, 07/01/2019,CBHCODE
2865  FISCHER PL,020800550026,1375146,424254,100.02,2000,B201904902,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 07/01/2019,CBHCODE
2865  FISCHER PL,020800550026,1375146,424254,100.02,2000,B201904902,BCOE413,PAINT EXTERIOR, 07/01/2019,CBHCODE
2865  FISCHER PL,020800550026,1375146,424254,100.02,2000,B201904566,BCOE400,REPAIR ROOF, 06/14/2019,CBHCODE
2865  FISCHER PL,020800550026,1375146,424254,100.02,2000,B201904566,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 06/14/2019,CBHCODE
2865  FISCHER PL,020800550026,1375146,424254,100.02,2000,B201904566,BCOE413,PAINT EXTERIOR, 06/14/2019,CBHCODE
2865  FISCHER PL,020800550026,1375146,424254,100.02,2000,B201904566,BCOE414,REPAIR WINDOWS, 06/14/2019,CBHCODE
3104  BRACKEN WOODS LN,020700540123,1377439,423439,100.02,2000,B201904407,BCOE414,REPAIR WINDOWS, 06/27/2019,CBHCODE
3104  BRACKEN WOODS LN,020700540123,1377439,423439,100.02,2000,B202201000,CD06871280,DEFECTIVE PLUMBING LINES, 02/08/2022,CBHCODE
3104  BRACKEN WOODS LN,020700540123,1377439,423439,100.02,2000,B202201000,CD06871282,REPAIR LEAK AND DAMAGE, 02/08/2022,CBHCODE
3104  BRACKEN WOODS LN,020700540123,1377439,423439,100.02,2000,B202203597,BCOE414,REPAIR WINDOWS, 07/14/2022,CBHCODE
3104  BRACKEN WOODS LN,020700540123,1377439,423439,100.02,2000,B202203597,CD07131065,DEFECTIVE PLUMBING LINES, 07/14/2022,CBHCODE
3104  BRACKEN WOODS LN,020700540123,1377439,423439,100.02,2000,B202203597,CD07131067,REPAIR GUTTERS AND DOWNSPOUTS, 07/14/2022,CBHCODE
3110  BRACKEN WOODS LN,020700540122,1377420,423501,100.02,2000,B201904844,BCOE400,REPAIR ROOF, 07/24/2019,CBHCODE
3110  BRACKEN WOODS LN,020700540122,1377420,423501,100.02,2000,B201904844,BCOE414,REPAIR WINDOWS, 07/24/2019,CBHCODE
3110  BRACKEN WOODS LN,020700540122,1377420,423501,100.02,2000,B201904844,BCOE605,REPAIR LEAK AND DAMAGE, 07/24/2019,CBHCODE
3110  BRACKEN WOODS LN,020700540122,1377420,423501,100.02,2000,B201904844,BCOE667,INSECT AND RODENT CONTROL, 07/24/2019,CBHCODE
3110  BRACKEN WOODS LN,020700540122,1377420,423501,100.02,2000,B202106555,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 01/03/2022,CBHCODE
3110  BRACKEN WOODS LN,020700540122,1377420,423501,100.02,2000,B202106555,CD06828744,REPAIR LEAK AND DAMAGE, 01/03/2022,CBHCODE
3110  BRACKEN WOODS LN,020700540122,1377420,423501,100.02,2000,B202206167,BCOE621,TOILET ROOM SURFACES, 01/27/2023,CBHCODE
3110  BRACKEN WOODS LN,020700540122,1377420,423501,100.02,2000,B202206167,BCOE667,INSECT AND RODENT CONTROL, 01/27/2023,CBHCODE
3126  BRACKEN WOODS LN,020700540125,1377478,423649,100.02,2000,B201900089,BCOE605,REPAIR LEAK AND DAMAGE, 01/18/2019,CBHCODE
3126  BRACKEN WOODS LN,020700540125,1377478,423649,100.02,2000,B201900089,BCOE617,REPAIR BATH OR SHOWER, 01/18/2019,CBHCODE
3126  BRACKEN WOODS LN,020700540125,1377478,423649,100.02,2000,B201900089,BCOE621,TOILET ROOM SURFACES, 01/18/2019,CBHCODE
3126  BRACKEN WOODS LN,020700540125,1377478,423649,100.02,2000,B201900089,BCOE634,DEFECTIVE PLUMBING LINES, 01/18/2019,CBHCODE
3126  BRACKEN WOODS LN,020700540125,1377478,423649,100.02,2000,B201903420,BCOE617,REPAIR BATH OR SHOWER, 04/08/2019,CBHCODE
3126  BRACKEN WOODS LN,020700540125,1377478,423649,100.02,2000,B201903420,BCOE634,DEFECTIVE PLUMBING LINES, 04/08/2019,CBHCODE
3137  GOBEL AV,020700540139,1377696,423690,100.02,2000,B201802937,BCOE621,TOILET ROOM SURFACES, 04/20/2018,CBHCODE
3137  GOBEL AV,020700540139,1377696,423690,100.02,2000,B201804322,CD05020197,REPAIR GUTTERS AND DOWNSPOUTS, 06/22/2018,CBHCODE
3137  GOBEL AV,020700540139,1377696,423690,100.02,2000,B201906478,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 09/13/2019,CBHCODE
3137  GOBEL AV,020700540139,1377696,423690,100.02,2000,B201906478,BCOE625,REPAIR SINK, 09/13/2019,CBHCODE
3137  GOBEL AV,020700540139,1377696,423690,100.02,2000,B202103610,CD06597913,REPAIR LEAK AND DAMAGE, 07/16/2021,CBHCODE
3137  GOBEL AV,020700540139,1377696,423690,100.02,2000,B202103610,CD06597914,DEFECTIVE PLUMBING LINES, 07/16/2021,CBHCODE
3137  GOBEL AV,020700540139,1377696,423690,100.02,2000,B202203315,CD07093512,DEFECTIVE PLUMBING LINES, 06/24/2022,CBHCODE
3137  GOBEL AV,020700540139,1377696,423690,100.02,2000,B202203315,CD07093513,PAINT EXTERIOR, 06/24/2022,CBHCODE
3145  GOBEL AV,020700540145,1377745,423746,100.02,2000,B201800097,BCOE619,REPAIR WATER CLOSET (TOILET), 01/10/2018,CBHCODE
3145  GOBEL AV,020700540145,1377745,423746,100.02,2000,B201800097,CD04765320,REPAIR BATH OR SHOWER, 01/10/2018,CBHCODE
3145  GOBEL AV,020700540145,1377745,423746,100.02,2000,B201806073,BCOE400,REPAIR ROOF, 09/10/2018,CBHCODE
3145  GOBEL AV,020700540145,1377745,423746,100.02,2000,B201806073,BCOE605,REPAIR LEAK AND DAMAGE, 09/10/2018,CBHCODE
3145  GOBEL AV,020700540145,1377745,423746,100.02,2000,B201806073,BCOE606,PAINT OR PAPER ROOMS, 09/10/2018,CBHCODE
3145  GOBEL AV,020700540145,1377745,423746,100.02,2000,B202101721,BCOE605,REPAIR LEAK AND DAMAGE, 04/14/2021,CBHCODE
3145  GOBEL AV,020700540145,1377745,423746,100.02,2000,B202203323,CD07093519,DEFECTIVE PLUMBING LINES, 06/24/2022,CBHCODE
3145  GOBEL AV,020700540145,1377745,423746,100.02,2000,B202203323,CD07093523,INSECT AND RODENT CONTROL, 06/24/2022,CBHCODE
3145  GOBEL AV,020700540145,1377745,423746,100.02,2000,B202203324,BCOE652,REPAIR DRYER VENT, 06/24/2022,CBHCODE
3147  BRACKEN WOODS LN,020700540240,1377436,423867,100.02,2000,B202005190,CD06197754,REPAIR LEAK AND DAMAGE, 10/08/2020,CBHCODE
3147  BRACKEN WOODS LN,020700540240,1377436,423867,100.02,2000,B202005190,CD06197755,REPAIR BATH OR SHOWER, 10/08/2020,CBHCODE
3159  GOBEL AV,020700540137,1377856,423852,100.02,2000,B202104111,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 07/22/2021,CBHCODE
3159  GOBEL AV,020700540137,1377856,423852,100.02,2000,B202104111,BCOE605,REPAIR LEAK AND DAMAGE, 07/22/2021,CBHCODE
3159  GOBEL AV,020700540137,1377856,423852,100.02,2000,B202104111,BCOE400,REPAIR ROOF, 07/22/2021,CBHCODE
3164  BRACKEN WOODS LN,020700540246,1377656,423970,100.02,2000,B201800048,CD04920225,REPAIR GUTTERS AND DOWNSPOUTS, 04/25/2018,CBHCODE
3164  BRACKEN WOODS LN,020700540246,1377656,423970,100.02,2000,B201804914,BCOE414,REPAIR WINDOWS, 07/18/2018,CBHCODE
3164  BRACKEN WOODS LN,020700540246,1377656,423970,100.02,2000,B201804914,CD05059324,REPAIR WATER CLOSET (TOILET), 07/18/2018,CBHCODE
3164  BRACKEN WOODS LN,020700540246,1377656,423970,100.02,2000,B201903329,BCOE606,PAINT OR PAPER ROOMS, 04/02/2019,CBHCODE
3164  BRACKEN WOODS LN,020700540246,1377656,423970,100.02,2000,B201903329,BCOE619,REPAIR WATER CLOSET (TOILET), 04/02/2019,CBHCODE
3164  BRACKEN WOODS LN,020700540246,1377656,423970,100.02,2000,B201903329,CD05438801,REPAIR BATH OR SHOWER, 04/02/2019,CBHCODE
3171  FERNCREST CT,020700540020,1377740,424079,100.02,2000,B201805862,CD05138500,LIGHT AND VENTILATION GENERAL, 08/30/2018,CBHCODE
3171  FERNCREST CT,020700540020,1377740,424079,100.02,2000,B201908068,CD05794465,REPAIR LEAK AND DAMAGE, 11/22/2019,CBHCODE
3173  FERNCREST CT,020700540020,1377670,424116,100.02,2000,B201905656,CD05622889,REPAIR LEAK AND DAMAGE, 07/24/2019,CBHCODE
3173  FERNCREST CT,020700540020,1377670,424116,100.02,2000,B202005478,CD06232298,REPAIR LEAK AND DAMAGE, 11/05/2020,CBHCODE
3173  FERNCREST CT,020700540020,1377670,424116,100.02,2000,B202200165,BCOE400,REPAIR ROOF, 02/01/2022,CBHCODE
3173  FERNCREST CT,020700540020,1377670,424116,100.02,2000,B202200165,BCOE619,REPAIR WATER CLOSET (TOILET), 02/01/2022,CBHCODE
3173  FERNCREST CT,020700540020,1377670,424116,100.02,2000,B202200165,CD06859290,REPAIR LAVATORY, 02/01/2022,CBHCODE
3173  FERNCREST CT,020700540020,1377670,424116,100.02,2000,B202205669,CD07295856,DEFECTIVE PLUMBING LINES, 10/28/2022,CBHCODE
3175  FERNCREST CT,020700540020,1377610,424147,100.02,2000,B201905666,BCOE605,REPAIR LEAK AND DAMAGE, 08/12/2019,CBHCODE
3175  FERNCREST CT,020700540020,1377610,424147,100.02,2000,B201907053,CD05738986,REPAIR BATH OR SHOWER, 10/14/2019,CBHCODE
3175  FERNCREST CT,020700540020,1377610,424147,100.02,2000,B202205673,BCOE406,SEWER CONNECT DOWNSPOUTS, 10/28/2022,CBHCODE
3175  FERNCREST CT,020700540020,1377610,424147,100.02,2000,B202205673,BCOE414,REPAIR WINDOWS, 10/28/2022,CBHCODE
3175  FERNCREST CT,020700540020,1377610,424147,100.02,2000,B202205673,BCOE623,REPAIR MECHANICAL VENT, 10/28/2022,CBHCODE
3175  FERNCREST CT,020700540020,1377610,424147,100.02,2000,B202205673,BCOE634,DEFECTIVE PLUMBING LINES, 10/28/2022,CBHCODE
3175  FERNCREST CT,020700540020,1377610,424147,100.02,2000,B202205676,BCOE605,REPAIR LEAK AND DAMAGE, 10/28/2022,CBHCODE
3175  FERNCREST CT,020700540020,1377610,424147,100.02,2000,B202205676,BCOE621,TOILET ROOM SURFACES, 10/28/2022,CBHCODE
3175  FERNCREST CT,020700540020,1377610,424147,100.02,2000,B202205010,BCOE606,PAINT OR PAPER ROOMS, 10/28/2022,CBHCODE
3175  FERNCREST CT,020700540020,1377610,424147,100.02,2000,B202205010,BCOE607,REDUCE OCCUPANCY, 10/28/2022,CBHCODE
3175  FERNCREST CT,020700540020,1377610,424147,100.02,2000,B202205010,BCOE669,RESPONSIBILITIES OF OCCUPANTS, 10/28/2022,CBHCODE
3177  FERNCREST CT,020700540020,1377420,424245,100.02,2000,B202102564,BCOE414,REPAIR WINDOWS, 06/10/2021,CBHCODE
3177  FERNCREST CT,020700540020,1377420,424245,100.02,2000,B202102564,BCOE615,REPAIR LAVATORY, 06/10/2021,CBHCODE
3177  FERNCREST CT,020700540020,1377420,424245,100.02,2000,B202102564,BCOE623,REPAIR MECHANICAL VENT, 06/10/2021,CBHCODE
3177  FERNCREST CT,020700540020,1377420,424245,100.02,2000,B202205677,BCOE634,DEFECTIVE PLUMBING LINES, 10/28/2022,CBHCODE
3177  FERNCREST CT,020700540020,1377420,424245,100.02,2000,B202205677,BCOE653,DEFECTIVE GAS APPLIANCE, 10/28/2022,CBHCODE
3177  FERNCREST CT,020700540020,1377420,424245,100.02,2000,B202205677,BCOE668,DEFECTIVE GAS LINES, 10/28/2022,CBHCODE
3181  FERNCREST CT,020700540020,1377420,424383,100.02,2000,B201906498,BCOE605,REPAIR LEAK AND DAMAGE, 09/13/2019,CBHCODE
3181  FERNCREST CT,020700540020,1377420,424383,100.02,2000,B201906498,BCOE606,PAINT OR PAPER ROOMS, 09/13/2019,CBHCODE
